post_id,date,year,nhood,city,county,price,beds,baths,sqft,room_in_apt,title,descr
pre2013_114759,20040712,2004,san jose south,san jose,santa clara,2130,5.0,,,0,$2300 / 5br - Huge 5 Bedroom Home for rent,
pre2013_21848,20120226,2012,nob hill,san francisco,san francisco,1600,1.0,,490,0,$1600 / 1br - 490ft² - One Bedroom Apartment @Washington / Powell ,
pre2013_131534,20041130,2004,berkeley,berkeley,alameda,1400,1.0,,,0,$1400 / 1br - 2538 Durant Ave. Very large 1+ sunny top floor apt. ,
pre2013_9464,20110106,2011,santa rosa,santa rosa,sonoma,1599,2.0,,,0,$1599 / 2br - Dual master suites with a private garage! We have SPECIALS!,
pre2013_50813,20120121,2012,mission district,san francisco,san francisco,2950,3.0,,,0,"$2950 / 3br - Great Price, Great Location, Spacious 3BR-2BTH(Utilities Includ",
pre2013_23996,20120311,2012,ingleside,san francisco,san francisco,1780,1.0,,,0,$1780 / 1br - ENTER TO WIN AN IPAD THIS WEEKEND,
pre2013_50347,20120117,2012,san mateo,san mateo,san mateo,2039,2.0,,1000,0,$2039 / 2br - 1000ft² - Ask About Our Flexible Leasing Terms and Pricing! ,
pre2013_137194,20050213,2005,lafayette / orinda / moraga,orinda,contra costa,1600,2.0,,,0,$1600 / 2br - 410386 Terrific duplex! Completely redone owner's unit. ,
pre2013_21755,20120226,2012,daly city,daly city,san mateo,1925,2.0,,879,0,$1925 / 2br - 879ft² - 2x2 Available March 10th,
pre2013_6350,20090205,2009,brentwood / oakley / discovery bay,brentwood,contra costa,1550,3.0,,,0,$1550 / 3br - Oakley Home for Rent -,
pre2013_79938,20070212,2007,oakland lake merritt / downtown,OAKLAND,alameda,925,1.0,1.0,,0,"$925 / 1br - 1 BR/1 BA apt w/ balcony, 2 blks from Lake",
pre2013_148133,20061118,2006,bayview,san francisco,san francisco,2200,3.0,3.0,,0,$2200 / 3br - three bedroom three bathroom town house,
5429852166,20160202,2016,san jose north,san jose,santa clara,2130,1.0,,676,0,Şub 2 Stylish condo in desirable area   $1925 / 1br - 676ft2 -    (san jose north)   resim har.,
pre2013_86722,20030605,2003,oakland lake merritt / downtown,oakland,alameda,1395,1.0,,,0,"$1395 / 1br - 1 bed Plus w/den-Quiet neighborhood by Piedmont-Oak,3300 Kempton Ave",
pre2013_107658,20040819,2004,redwood city,redwood city,san mateo,725,,,,0,"$725  - 1735 BROADWAY, #16, REDWOOD CITY",
pre2013_15221,20120121,2012,dublin / pleasanton,dublin,alameda,1699,2.0,,920,0,"$1699 / 2br - 920ft² - Take A Tour Today... W/D, Huge Patio, Central Air/Heat!",
pre2013_56901,20120306,2012,palo alto,palo alto,santa clara,4000,3.0,,,0,$4000 / 3br - Downtown Palo Alto Vintage Home,
6406006784,20171129,2017,cupertino,cupertino,santa clara,848,3.0,3.0,1597,0,Three bathroom This chance is too big to miss out on.  3 room House Pl,
pre2013_143869,20050523,2005,milpitas,milpitas,santa clara,1300,3.0,,,0,$1300 / 3br - 3br/1.5 bth Townhouse ,
pre2013_80164,20070307,2007,san rafael,san rafael,marin,1150,1.0,,,0,$1150 / 1br - Sunny 1 bdrm near Domincan,
4920816469,20150309,2015,corralitos,corralitos,santa cruz,2050,2.0,,,0,1-Feb,
pre2013_44462,20111220,2011,pittsburg / antioch,pittsburg,contra costa,1750,3.0,2.5,2000,0,$1750 / 3br - 2000ft² - Beautiful 3 BR 2.5 BA 3 garage in 94531 / Antioch - Sec 8 OK,
pre2013_32483,20111102,2011,burlingame / hillsborough,burlingame,san mateo,6250,4.0,3.5,3500,0,$6250 / 4br - 3500ft² - 4Br 3.5bath Hillsborough House ,
pre2013_158546,20060505,2006,palo alto,palo alto,santa clara,1950,3.0,2.0,,0,$1950 / 3br - 3Bd/2Ba Large detached Single Family Home on Quiet Street,
pre2013_31538,20110924,2011,oakland hills south,oakland,alameda,1375,2.0,,900,0,$1375 / 2br - 900ft² - Morman Temple Remodeled Apt in Quiet Six-plex ,
pre2013_49527,20120115,2012,lower pac hts,san francisco,san francisco,2797,1.0,,625,0,$2797 / 1br - 625ft² - 1 bedroom with the biggest closet you have seen so far....,
pre2013_116743,20010813,2001,outer sunset,san francisco,san francisco,1250,1.0,,,0,$1250 - Sunset  1bd 28th Ave Garden apt.  (map),
pre2013_92707,20040813,2004,parkside,san francisco,san francisco,1600,2.0,2.0,,0,"$1600 / 2br - CHECKOUT MY GREAT 2BED+2FULL BATH, HEART OF SUNSET,PICS",
pre2013_7816,20100423,2010,pittsburg / antioch,pittsburg,contra costa,1250,2.0,,,0,"$1250 / 2br - 107 Tammy Cir, Bay Point, (CLOSE TO BART STATION!!)",
pre2013_12245,20110724,2011,glen park,san francisco,san francisco,1350,1.0,,,0,"$1350 / 1br - Spacious, well-maintained apartment for rent",
pre2013_39335,20111128,2011,napa county,napa county,---,1650,3.0,,,0,$1650 / 3br - UPDATED SPACIOUS APARTMENT IN A TRIPLEX......WEST WOOD AREA,
pre2013_132516,20041215,2004,oakland lake merritt / downtown,oakland,alameda,925,1.0,,,0,"$925 / 1br -  Top Floor unit on North side of Lake Merritt, Fireplace, Move-in Spec ",
pre2013_134975,20050119,2005,burlingame / hillsborough,burlingame,san mateo,800,0.0,,,0,$800  - Charming Studio w/walk-in closet ,
pre2013_98195,20041024,2004,hayes valley,san francisco,san francisco,1150,,,,0,$1150  - 452 Oak St.,
4935204452,20150316,2015,mountain view,mountain view,santa clara,2895,2.0,,940,0,"GoogleWiFi, Private Patio or Balcony, Granite, Walk to Grocery, Dining",
pre2013_28408,20080503,2008,civic / van ness,san francisco,san francisco,1450,0.0,,,0,$1450 COME SEE IT! **  DOWNTOWN CONTEMPORARY STUDIO LOFT **  -,
5075585543,20150616,2015,boulder cr,boulder cr,santa cruz,1975,2.0,,,0,Sweet mountain cottage,
5795370891,20161001,2016,napa county,napa county,---,2100,1.0,,600,0,"이 게시물을 즐겨찾기로 설정

 9월 30
Furnished Charming Detached 1 Bedroom Cottage


$2100

                1br -
                600ft2 -
            

 (napa county)

 사진
                            지도







이 게시물 숨김



이 게시물 복구",
pre2013_54646,20120222,2012,pacifica,pacifica,san mateo,2133,,,590,0,$2133 / 590ft² - Wine Chillers* Washer/Dryer in Every Home* Ocean Views,
pre2013_137731,20050219,2005,santa clara,santa clara,santa clara,1245,2.0,,,0,"$1245 / 2br - Excellent TH! 2 Bdrm, Great Location!, GE appl, AC, Pool/Spa ",
pre2013_44242,20111219,2011,napa county,napa county,---,1875,2.0,,2000,0,$1875 / 2br - 2000ft² - COUNTRY LIVING CALISTOGA,
pre2013_2060,20060718,2006,san rafael,san rafael,marin,900,0.0,,,0,$900  - STUDIO FOR RENT IN QUIET NEIGHBORHOOD,
pre2013_24985,20060720,2006,campbell,campbell,santa clara,895,0.0,,,0,$895  - Large Downstairs Studio - Pool,
pre2013_45412,20111223,2011,potrero hill,san francisco,san francisco,1275,1.0,,,0,$1275 / 1br - Hill Stylish Furnished 1 Bedroom Apartment For Rent,
4137838267,20131019,2013,saratoga,saratoga,santa clara,5500,3.0,,2440,0,    Oct 18 Saratoga Home - Beautifully updated for RENT   $5500 / 3br - 2440ft² -    (saratoga)   pic img map   ,
4664902665,20140914,2014,santa cruz,santa cruz,santa cruz,1995,2.0,,,0,"Ready October 10 2014 , Value and Comfort @ The BEACH",
3562772986,20130122,2013,nob hill,san francisco,san francisco,2995,1.0,,,0,Pet Friendly - Hardwood Floors - Beautiful Building  - Vintage Charm,
pre2013_93237,20040819,2004,marina / cow hollow,san francisco,san francisco,2195,1.0,,,0,"$2195 / 1br - Spacious, Roof Deck, Garden, Near Presidio!",
pre2013_145091,20060105,2006,inner richmond,san francisco,san francisco,1875,2.0,,,0,$1875 / 2br - ~~~~ SUNNY TOP FLOOR FLAT ~~~~,
pre2013_130393,20041118,2004,san jose west,san jose,santa clara,2130,2.0,1.0,,0,$1275 / 2br - Willow Glen 2br/1ba duplex $1275 ,
pre2013_53711,20120211,2012,inner sunset,san francisco,san francisco,1450,0.0,,,0,$1450 Deluxe Studio,
5828408704,20161016,2016,santa cruz,santa cruz,santa cruz,1800,1.0,,750,0,"이 게시물을 즐겨찾기로 설정

10월 14
1 Bd ART DECO DUPLEX - $1800/mo. 750sq'


$1800

                1br -
                750ft2 -
            

 (santa cruz)

 사진
                            지도







이 게시물 숨김



이 게시물 복구",
5795325398,20161008,2016,sunnyvale,sunnyvale,santa clara,2895,2.0,2.0,1000,0,"이 게시물을 즐겨찾기로 설정

10월  7
Newly remodeled Sunnyvale 2 bed 2 bath condo near Apple/Google


$2895

                2br -
                1000ft2 -
            

 (sunnyvale)

 사진
                            지도







이 게시물 숨김



이 게시물 복구",
pre2013_26918,20070904,2007,oakland lake merritt / downtown,oakland,alameda,1050,1.0,,,0,"$1050 / 1br - Near Park St, Rooz Cafe and Parkway Theater, Open Showing Today!",
pre2013_102550,20041213,2004,lower pac hts,san francisco,san francisco,1349,0.0,,,0,$1349  - Great Studio Available-No Rent for 2 Weeks!,
pre2013_5751,20081221,2008,castro,san francisco,san francisco,4999,4.0,,,0,$4999 / 4br - Beautiful Full Floor Flat with Views (4BR/2BA/2FPs/Pkg.) in Victorian -,
pre2013_77615,20090118,2009,palo alto,palo alto,santa clara,1150,1.0,,,0,"$1150 / 1br - Great 1 Bedroom End-Unit, New Price!! -",
pre2013_64915,20120402,2012,hercules / pinole / san pablo / el sob,el sobrante,contra costa,2700,5.0,3.0,,0,"$2700 / 5br - Beautiful 5 bdrm / 3 bath home, all new, grt location, nice!",
pre2013_121002,20040720,2004,sonoma,sonoma,sonoma,2350,3.0,,,0,$2350 / 3br - Rarely Available Vineyard Home. ,
pre2013_136098,20050131,2005,inner sunset,san francisco,san francisco,1950,2.0,,,0,$1950 / 2br - IMMACULATE TOP FLOOR FLAT- PHOTOS ,
pre2013_83343,20060822,2006,danville / san ramon,san ramon,contra costa,3295,3.0,3.0,,0,$3295 / 3br - Brand New 3bd/3ba Danville House-Must See! Walk to Downtown Danville!,
5561489226,20160505,2016,santa cruz,santa cruz,santa cruz,700,,,,0,"5月 3 (incl utilities), Quiet, Reliable and Responsible!   $700   (santa cruz)   图片 地图",
pre2013_31034,20110624,2011,petaluma,petaluma,sonoma,3000,4.0,3.0,,0,$3000 / 4br - 4 BDRM / 3 BATH HILLSIDE HOME IN COUNTRY CLUB ESTATE,
pre2013_152124,20060408,2006,oakland hills south,oakland,alameda,850,,,,0,$850  - cottage,
pre2013_31312,20110923,2011,pacific heights,san francisco,san francisco,3800,1.0,,,0,$3800 / 1br - ***Huge Pacific Heights Luxury One Bedroom-Parking-Hardwood***,
pre2013_130515,20041119,2004,oakland lake merritt / downtown,oakland,alameda,1250,2.0,,,0,$1250 / 2br - **One Month Free Limited Time Special** ,
5606831548,20160527,2016,potrero hill,san francisco,san francisco,5400,2.0,,1472,0,May 27 Live at Potrero 1010... Extra Large 2 BD + Den..Move In Ready!   $5400 / 2br - 1472ft2 -    (potrero hill)   pic map    hide this posting restore this posting,
pre2013_110826,20041115,2004,belmont / san carlos,belmont,san mateo,1395,2.0,2.0,,0,$1395 / 2br - 2BR/2BA CARLMONT HEIGHTS 2211 HASTINGS DRIVE,
pre2013_126258,20040926,2004,san mateo,san mateo,san mateo,1295,2.0,,,0,"$1295 / 2br - Large ,bright 2 br apartment  w/large patio ",
5063699947,20150609,2015,santa cruz,santa cruz,santa cruz,1650,1.0,1.0,500,0,1br1ba with storage,
pre2013_145062,20050615,2005,vallejo / benicia,vallejo,solano,750,1.0,,,0,"$750 / 1br - Vallejo: Large 1bd., Extra Clean, Lotsa Light! Must See! ",
pre2013_119269,20040630,2004,san anselmo,san anselmo,marin,1000,1.0,,,0,"$1000 / 1br - Awesome 1 bdrm apt,Mt. Tam view, hdwd floors, pool, lg patio ",
pre2013_150413,20060815,2006,belmont / san carlos,belmont,san mateo,1350,1.0,,,0,"$1350 / 1br - 1 Bedroom  with Granite,  Bosch Stainless Appliance",
pre2013_92493,20040810,2004,outer richmond,san francisco,san francisco,1195,1.0,,,0,$1195 / 1br - 1Bedroom In Richmond District ### FREE PARKING ### TOP FLOOR #########,
pre2013_163000,20060302,2006,yountville,yountville,---,1950,2.0,,,0,$1950 / 2br - Yountville Duplex,
5568552016,20160527,2016,san leandro,san leandro,alameda,2600,3.0,,,0,May 26 San Leandro Marina Town house   $2600 / 3br -    (san leandro)   pic map    hide this posting restore this posting,
3812260851,20130518,2013,napa county,napa county,---,1339,2.0,,895,0,    Come and see our apartments this weekend    $1339 / 2br - 895ft² -    (napa county)   img map   ,
pre2013_39161,20111128,2011,oakland hills south,oakland,alameda,1295,2.0,,,0,$1295 / 2br - CONTEMPORARY APARTMENTS NEAR MILLS COLLEGE AND MAXWELL PARK,
5043544886,20150526,2015,palo alto,palo alto,santa clara,6000,4.0,3.0,1600,0,Palo Alto 4 bedroom 3 bath house for rent,
5427562264,20160205,2016,union city,union city,alameda,1800,1.0,,,0,Feb 4 Million Dollar View Rental $2400 House   $1800 / 1br -    (fremont / union city / newark)   pic map,
5780875463,20160914,2016,sunnyvale,sunnyvale,santa clara,3985,3.0,2.0,,0,"favorite this post

Sep 13
Beautiful Single Family Home: 3 Bedrooms and 2 Baths


$3985

                3br -
            

 (sunnyvale)

 pic
                            map







hide this posting



restore this posting",
pre2013_24794,20060721,2006,russian hill,san francisco,san francisco,6000,2.0,,,0,$6000 / 2br - 2BR+Den/Garage Russian Hill*photo*,
5807371550,20161001,2016,santa cruz,santa cruz,santa cruz,2600,2.0,,,0,"이 게시물을 즐겨찾기로 설정

 9월 30
Saturday Open House 10-1


$2600

                2br -
            

 (santa cruz)

 사진
                            지도







이 게시물 숨김



이 게시물 복구",
pre2013_151252,20060225,2006,oakland lake merritt / downtown,oakland,alameda,1850,2.0,2.0,1500,0,$1850 / 2br - 432258 Adam�s Point bright and spacious 2BR/2BA 1500 sq ft penthouse,
5741249832,20160820,2016,parkside,san francisco,san francisco,2200,2.0,1.0,,0,8월 19 Newly remodeled 2 bed 1 bath in-law down stairs unit   $2200 / 2br -    (sunset / parkside)   사진 지도    hide this posting  표시,
pre2013_98089,20041023,2004,SOMA / south beach,san francisco,san francisco,1950,1.0,,,0,$1950 / 1br - INCREDIBLE S.F. SKYLINE VIEW / BEST IN THE CITY,
pre2013_52284,20120125,2012,dublin / pleasanton,dublin,alameda,1814,2.0,,1075,0,$1814 / 2br - 1075ft² - What a great two bedroom!,
4966869152,20150407,2015,santa rosa,santa rosa,sonoma,1747,2.0,2.0,873,0,2 Bedroom/ 2 Bath *Downstairs unit w/Large Patio*,
pre2013_131216,20041127,2004,oakland lake merritt / downtown,OAKLAND,alameda,695,0.0,,,0,"$695  - Bright, Roomy Studio (5 minute walk to Lake Merritt) ",
pre2013_59954,20120320,2012,marina / cow hollow,san francisco,san francisco,3900,2.0,,,0,"$3900 / 2br - 2BR + office, large deck, 2 car private garage included, W/D in unit",
pre2013_154117,20070413,2007,nob hill,san francisco,san francisco,2995,3.0,,,1,"$2995 / 3br - Great 3-Bedroom, Perfect for Roommates",
5429267290,20160201,2016,albany / el cerrito,el cerrito,contra costa,2575,2.0,,1100,0,"Şub 1 Penthouse unit $2575 2 BR 2 BA, landlord paid gas heating, water, hot   $2575 / 2br - 1100ft2 -    (albany / el cerrito)   resim har.",
5716548548,20160809,2016,pacific heights,san francisco,san francisco,6495,2.0,2.0,900,0,Aug 8 Pac Heights Plus | Views | 2 BD+2 BA | Laundry+Pkg | ReLISTO   $6495 / 2br - 900ft2 -    (pacific heights)   pic map    hide this posting  restore this posting,
pre2013_10230,20110112,2011,palo alto,palo alto,santa clara,1980,2.0,,,0,$1980 / 2br - The Best Place To Call Home - Lock in Low Prices ASAP,
pre2013_44872,20111221,2011,hayward / castro valley,hayward,alameda,1250,2.0,,660,0,$1250 / 2br - 660ft² - Spacious 2x2 w/ accent wall & much more here at Coral Garden!,
pre2013_141590,20050408,2005,noe valley,san francisco,san francisco,2700,3.0,,,0,$2700 / 3br - Spacious flat in Castro/Noe ,
pre2013_146857,20060426,2006,civic / van ness,san francisco,san francisco,1625,1.0,,,0,$1625 / 1br - Huge 1Br. a must see,
pre2013_161760,20060616,2006,gilroy,gilroy,santa clara,1345,2.0,,,0,"$1345 / 2br - **2BA, EXCELLENT! in W. GILROY NEIGHBORHOOD, AC*(Pics)*",
4062103493,20130912,2013,russian hill,san francisco,san francisco,11000,4.0,4.0,1969,0,    Sep 12 4BR/4BA Luxury Townhome at Green Hill Views Apartments   $11000 / 4br - 1969ft² -    (russian hill)   pic img map   ,
pre2013_28146,20080420,2008,marina / cow hollow,san francisco,san francisco,3400,1.0,,,0,$3400 / 1br - Corp.furnished Marina 1BR - tasteful! {photos}   415-297-9777 -,
pre2013_28668,20080726,2008,oakland lake merritt / downtown,oakland,alameda,1725,2.0,,,0,$1725 / 2br - Oakland- Ivy Drive Area -,
4655293324,20140907,2014,santa cruz,santa cruz,santa cruz,1100,0.0,,300,0,"Beach Studio with Parking, Laundry",
4938676009,20150324,2015,watsonville,watsonville,santa cruz,1050,1.0,,2200,0,AROMAS-WATSONVILLE: FURNISHED BEDROOM W/DIRECT TV &amp; WIFI: PRIVATE,
pre2013_103282,20041230,2004,marina / cow hollow,san francisco,san francisco,1500,1.0,1.0,,0,"$1500 / 1br - NEW YEAR-WONDERFUL,NEW 1BD/1BA IN COW HOLLOW-QUIET UNIT!!!",
pre2013_118426,20040622,2004,oakland lake merritt / downtown,OAKLAND,alameda,875,1.0,,,0,$875 / 1br - COMPLETELY REBUILT   GRANITE LARGE BRIGHT  TWO BLOCKES FROM  THE LAKE ,
pre2013_148361,20060111,2006,belmont / san carlos,belmont,san mateo,1045,1.0,1.0,,0,$1045 / 1br - 1br/1ba  1001 CONTINENTALS WAY  CHATEAU D�ORO APARTMENTS,
pre2013_35665,20111117,2011,redwood city,redwood city,san mateo,1695,1.0,,600,0,$1695 / 1br - 600ft² - Move In Bonus!!! Fantastic upgraded loft just in time for the Holidays,
